,age,sex,race,degree,wrkstat,income,happy,number
633,52,Female,Other,Junior college,Working parttime,Refused,Very happy,0
634,80,Female,White,Junior college,Retired,$25000 or more,Very happy,0
635,58,Male,White,Bachelor,Working fulltime,Refused,Pretty happy,0
636,69,Female,White,High school,Working fulltime,$25000 or more,Very happy,0
637,49,Female,White,Graduate,Working fulltime,$25000 or more,Pretty happy,0
638,75,Male,White,Bachelor,Working parttime,$25000 or more,Very happy,0
639,67,Female,White,High school,Working parttime,$25000 or more,Pretty happy,0
640,51,Female,White,Graduate,Working parttime,$25000 or more,Pretty happy,0
641,57,Female,White,Bachelor,Working parttime,$25000 or more,Very happy,0
642,34,Male,White,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
643,29,Female,Other,Bachelor,Keeping house,Don't know,Not too happy,0
644,44,Female,Other,Lt high school,"Unempl, laid off",$7000 to 7999,Pretty happy,0
645,49,Female,White,High school,Other,$8000 to 9999,Not too happy,0
646,52,Female,Other,Graduate,Working fulltime,$25000 or more,Pretty happy,0
647,54,Male,Other,Graduate,Working fulltime,Refused,Very happy,0
648,48,Female,White,High school,Keeping house,$25000 or more,Pretty happy,0
649,34,Female,Other,Bachelor,Working fulltime,Refused,Pretty happy,0
650,44,Female,Black,Junior college,Working fulltime,Refused,Very happy,0
651,33,Male,White,Bachelor,Working parttime,$7000 to 7999,Pretty happy,0
652,31,Female,White,High school,"Unempl, laid off",Don't know,Not too happy,0
653,30,Female,White,Graduate,Working fulltime,$25000 or more,Pretty happy,0
654,77,Female,Black,Lt high school,Retired,$10000 - 14999,Very happy,0
655,78,Female,Other,High school,Retired,$10000 - 14999,Pretty happy,0
656,47,Male,Black,High school,Working parttime,$8000 to 9999,Pretty happy,0
657,58,Male,Black,High school,"Unempl, laid off",$10000 - 14999,Very happy,0
658,52,Male,Black,High school,Working fulltime,$20000 - 24999,Pretty happy,0
659,49,Female,Black,Bachelor,Working fulltime,$25000 or more,Very happy,0
660,83,Female,Black,High school,Retired,Don't know,Pretty happy,0
661,23,Male,White,High school,School,$3000 to 3999,Not too happy,0
662,36,Female,White,Graduate,Working parttime,$25000 or more,Very happy,0
663,79,Female,White,Bachelor,Retired,$25000 or more,Pretty happy,0
664,61,Female,White,High school,Working fulltime,$25000 or more,Very happy,0
665,40,Male,White,High school,Working fulltime,$25000 or more,Very happy,0
666,27,Female,White,High school,Keeping house,$25000 or more,Pretty happy,0
667,57,Female,White,High school,Other,$25000 or more,Pretty happy,0
668,27,Male,Black,High school,Working fulltime,$25000 or more,Not too happy,0
669,66,Female,White,Junior college,Working parttime,$15000 - 19999,Pretty happy,0
670,74,Female,Black,High school,Retired,$10000 - 14999,Pretty happy,0
671,57,Female,White,High school,Working fulltime,$25000 or more,Very happy,0
672,27,Female,White,High school,Working parttime,$25000 or more,Pretty happy,0
673,28,Female,Other,High school,"Unempl, laid off",$25000 or more,Pretty happy,0
674,33,Female,Other,High school,Working fulltime,$25000 or more,Pretty happy,0
675,39,Male,Other,Graduate,Working fulltime,$25000 or more,Very happy,0
676,27,Male,White,Bachelor,Working fulltime,$20000 - 24999,Pretty happy,0
677,34,Male,Other,Graduate,Working fulltime,$5000 to 5999,Pretty happy,0
678,28,Male,White,High school,Working fulltime,$25000 or more,Pretty happy,0
679,50,Male,Black,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
680,30,Male,Black,High school,Working fulltime,$25000 or more,Very happy,0
681,68,Female,White,High school,Retired,$25000 or more,Pretty happy,0
682,70,Female,White,Lt high school,Retired,Refused,Very happy,0
683,55,Male,Black,High school,Keeping house,$8000 to 9999,Not too happy,0
684,59,Male,Black,High school,Keeping house,$25000 or more,Not too happy,0
685,60,Female,Black,High school,Working fulltime,$25000 or more,Not too happy,0
686,19,Female,Black,High school,Working fulltime,$25000 or more,Very happy,0
687,19,Male,Other,Lt high school,School,$25000 or more,Very happy,0
688,48,Female,Black,High school,Working fulltime,$25000 or more,Not too happy,0
689,27,Male,Black,High school,Working fulltime,$25000 or more,Pretty happy,0
690,33,Female,White,High school,Working fulltime,$25000 or more,Pretty happy,0
691,79,Male,Black,Lt high school,Retired,$15000 - 19999,Pretty happy,0
692,56,Male,Black,Lt high school,Working fulltime,$20000 - 24999,Very happy,0
693,53,Male,White,Lt high school,Keeping house,$25000 or more,Not too happy,0
694,32,Male,Other,High school,Working parttime,$6000 to 6999,Pretty happy,0
695,21,Male,Black,High school,Working fulltime,$20000 - 24999,Pretty happy,0
696,42,Male,White,Lt high school,Working fulltime,$25000 or more,Pretty happy,0
697,28,Female,Black,High school,Working fulltime,$15000 - 19999,Not too happy,0
698,22,Female,White,Lt high school,Working parttime,$20000 - 24999,Not too happy,0
699,40,Male,Other,High school,Working fulltime,$25000 or more,Pretty happy,0
700,44,Male,White,Lt high school,Working fulltime,$25000 or more,Not too happy,0
701,22,Male,White,Junior college,School,$25000 or more,Very happy,0
702,35,Female,Other,Graduate,School,$4000 to 4999,Pretty happy,0
703,64,Female,White,High school,Retired,$25000 or more,Pretty happy,0
704,40,Female,Black,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
705,36,Female,Black,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
706,51,Female,White,Lt high school,Working fulltime,$25000 or more,Very happy,0
707,54,Male,White,Lt high school,Working fulltime,$25000 or more,Not too happy,0
708,36,Male,White,High school,Working fulltime,$25000 or more,Very happy,0
709,44,Female,White,Lt high school,Keeping house,$15000 - 19999,Not too happy,0
710,37,Male,Black,High school,Working fulltime,$25000 or more,Pretty happy,0
711,50,Female,White,Bachelor,Working fulltime,Don't know,Not too happy,0
712,25,Female,Other,Bachelor,Working fulltime,$25000 or more,Very happy,0
713,44,Male,Other,Lt high school,Working fulltime,$20000 - 24999,Very happy,0
714,22,Female,White,High school,Keeping house,$25000 or more,Pretty happy,0
715,40,Female,White,Lt high school,Working fulltime,$25000 or more,Not too happy,0
716,28,Female,Other,High school,Keeping house,$20000 - 24999,Pretty happy,0
717,40,Female,White,High school,Keeping house,$20000 - 24999,Pretty happy,0
718,59,Female,Other,High school,Working fulltime,$25000 or more,Pretty happy,0
719,37,Female,White,High school,Keeping house,Refused,Pretty happy,0
720,26,Male,White,Bachelor,Working fulltime,$25000 or more,Very happy,0
721,27,Male,White,Junior college,Working fulltime,$25000 or more,Very happy,0
722,69,Female,White,High school,Keeping house,$25000 or more,Very happy,0
723,53,Female,White,High school,Working parttime,Refused,Not too happy,0
724,52,Male,Black,High school,Retired,Refused,Very happy,0
725,42,Male,White,High school,Working fulltime,$25000 or more,Very happy,0
726,60,Female,White,Lt high school,Working parttime,$10000 - 14999,Very happy,0
727,60,Male,White,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
728,59,Female,Black,Bachelor,"Unempl, laid off",$25000 or more,Pretty happy,0
729,57,Male,Other,High school,Retired,$6000 to 6999,Pretty happy,0
730,30,Female,Black,High school,Working parttime,$3000 to 3999,Not too happy,0
731,37,Female,White,Junior college,Keeping house,$20000 - 24999,Not too happy,0
732,40,Female,White,High school,Keeping house,Don't know,Not too happy,0
733,33,Male,Black,Junior college,Working fulltime,$4000 to 4999,Pretty happy,0
734,51,Female,Black,High school,Temp not working,$25000 or more,Very happy,0
735,46,Male,White,Junior college,Working fulltime,$25000 or more,Very happy,0
736,52,Female,Black,Graduate,Working fulltime,$25000 or more,Very happy,0
737,No answer,Female,Black,Graduate,Retired,$25000 or more,Pretty happy,0
738,77,Female,White,High school,Keeping house,$25000 or more,Very happy,0
739,56,Female,White,Bachelor,Working fulltime,$25000 or more,Very happy,0
740,25,Male,White,High school,Working fulltime,$25000 or more,Pretty happy,0
741,48,Female,White,High school,Working fulltime,$25000 or more,Pretty happy,0
742,61,Male,White,High school,Retired,$15000 - 19999,Pretty happy,0
743,19,Female,White,High school,Keeping house,$25000 or more,Pretty happy,0
744,36,Female,Other,Lt high school,Working parttime,$25000 or more,Very happy,0
745,28,Female,Black,Bachelor,Working parttime,Don't know,Not too happy,0
746,23,Male,Black,Bachelor,Working fulltime,$20000 - 24999,Pretty happy,0
747,29,Female,Black,High school,Working fulltime,$25000 or more,Pretty happy,0
748,69,Male,White,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
749,35,Male,Black,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
750,38,Female,Black,High school,Working fulltime,$10000 - 14999,Pretty happy,0
751,31,Female,Black,Junior college,Working fulltime,$25000 or more,Pretty happy,0
752,42,Female,Black,High school,Working parttime,$15000 - 19999,Pretty happy,0
753,78,Male,White,Graduate,Retired,$25000 or more,Pretty happy,0
754,31,Female,Other,Lt high school,Working parttime,Don't know,Pretty happy,0
755,67,Female,Other,Lt high school,Other,Don't know,Very happy,0
756,48,Female,White,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
757,68,Male,Black,Junior college,Working fulltime,$25000 or more,Very happy,0
758,42,Male,Black,High school,Working fulltime,$25000 or more,Very happy,0
759,65,Female,White,High school,Working fulltime,$25000 or more,Very happy,0
760,44,Female,White,High school,Keeping house,$25000 or more,Pretty happy,0
761,77,Female,White,High school,Retired,$25000 or more,Not too happy,0
762,62,Female,White,High school,Working fulltime,$25000 or more,Pretty happy,0
763,51,Male,White,Lt high school,Working fulltime,$10000 - 14999,Pretty happy,0
764,21,Female,Black,High school,Keeping house,Don't know,Not too happy,0
765,28,Female,White,Lt high school,Working fulltime,$25000 or more,Very happy,0
766,20,Female,White,High school,School,$25000 or more,Very happy,0
767,19,Female,White,High school,Working parttime,$25000 or more,Not too happy,0
768,53,Female,White,High school,Working fulltime,Don't know,Pretty happy,0
769,40,Female,Black,High school,Working fulltime,$25000 or more,Pretty happy,0
770,51,Male,White,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
771,65,Male,Black,High school,Retired,$25000 or more,Not too happy,0
772,51,Female,Black,High school,Working fulltime,$25000 or more,Pretty happy,0
773,60,Male,Black,Junior college,Working fulltime,$25000 or more,Pretty happy,0
774,57,Male,Black,High school,Working parttime,$25000 or more,Pretty happy,0
775,70,Female,White,High school,Retired,$20000 - 24999,Not too happy,0
776,53,Female,Black,High school,Other,$3000 to 3999,Very happy,0
777,37,Female,Black,Bachelor,Working fulltime,$10000 - 14999,Pretty happy,0
778,56,Male,Black,High school,Working fulltime,$25000 or more,Very happy,0
779,59,Female,Black,High school,Keeping house,$20000 - 24999,Pretty happy,0
780,21,Female,Black,High school,School,$25000 or more,Pretty happy,0
781,59,Male,White,Lt high school,Working fulltime,$25000 or more,Pretty happy,0
782,66,Male,White,High school,Retired,$5000 to 5999,Very happy,0
783,56,Male,White,Junior college,Working fulltime,$1000 to 2999,Very happy,0
784,56,Female,Black,High school,Working fulltime,$25000 or more,Pretty happy,0
785,24,Female,Black,Junior college,Working fulltime,$25000 or more,Pretty happy,0
786,87,Female,Black,High school,Other,Don't know,Very happy,0
787,22,Female,Black,High school,Working fulltime,$25000 or more,Pretty happy,0
788,51,Male,Black,High school,Working fulltime,$25000 or more,Not too happy,0
789,56,Female,Black,High school,Working fulltime,$25000 or more,Pretty happy,0
790,47,Female,Black,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
791,18,Male,White,Lt high school,School,$3000 to 3999,Not too happy,0
792,26,Female,White,Lt high school,"Unempl, laid off",$25000 or more,Pretty happy,0
793,27,Female,Black,High school,School,$25000 or more,Not too happy,0
794,20,Male,Other,High school,Working parttime,Refused,Very happy,0
795,33,Female,Black,High school,Working fulltime,$25000 or more,Pretty happy,0
796,31,Female,White,High school,Working fulltime,$20000 - 24999,Very happy,0
797,70,Female,White,Graduate,Working parttime,$25000 or more,Pretty happy,0
798,51,Female,White,Bachelor,Other,Don't know,Pretty happy,0
799,87,Female,White,Bachelor,Retired,$25000 or more,Pretty happy,0
800,54,Female,White,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
801,81,Female,White,High school,Retired,$25000 or more,Very happy,0
802,25,Male,Black,Junior college,Working parttime,$3000 to 3999,Pretty happy,0
803,47,Male,Black,High school,Working fulltime,$1000 to 2999,Very happy,0
804,65,Male,Black,Bachelor,Retired,$25000 or more,Pretty happy,0
805,75,Male,White,Lt high school,Retired,$1000 to 2999,Very happy,0
806,46,Male,White,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
807,51,Male,White,High school,"Unempl, laid off",$25000 or more,Pretty happy,0
808,53,Male,White,Graduate,Working fulltime,$25000 or more,Pretty happy,0
809,45,Female,White,Bachelor,Keeping house,Refused,Pretty happy,0
810,18,Female,White,High school,School,Refused,Pretty happy,0
811,52,Female,White,Graduate,Working fulltime,$25000 or more,Very happy,0
812,56,Female,White,Bachelor,Working fulltime,$25000 or more,Very happy,0
813,34,Male,White,Bachelor,Working fulltime,Refused,Very happy,0
814,58,Female,Black,Bachelor,Keeping house,$15000 - 19999,Pretty happy,0
815,59,Male,Black,High school,Working fulltime,$25000 or more,Pretty happy,0
816,69,Female,Black,Graduate,Retired,$15000 - 19999,Pretty happy,0
817,67,Female,Black,High school,Retired,$10000 - 14999,Not too happy,0
818,54,Female,Black,Bachelor,Other,Refused,Not too happy,0
819,53,Male,Black,High school,Working fulltime,$25000 or more,Very happy,0
820,47,Female,Black,High school,Working fulltime,$10000 - 14999,Pretty happy,0
821,47,Male,Black,Bachelor,Retired,Refused,Pretty happy,0
822,63,Female,Black,Lt high school,Keeping house,$20000 - 24999,Not too happy,0
823,32,Female,Black,Bachelor,Working fulltime,$25000 or more,Not too happy,0
824,28,Female,White,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
825,23,Female,White,High school,"Unempl, laid off",$25000 or more,Pretty happy,0
826,53,Female,White,Bachelor,Working fulltime,$25000 or more,Not too happy,0
827,39,Female,Other,Lt high school,Working fulltime,$20000 - 24999,Not too happy,0
828,38,Female,Black,High school,Working fulltime,$25000 or more,Not too happy,0
829,51,Male,White,High school,Working fulltime,$25000 or more,Pretty happy,0
830,66,Female,White,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
831,54,Male,White,Graduate,Working fulltime,Refused,Very happy,0
832,68,Male,White,High school,Retired,$25000 or more,Pretty happy,0
833,58,Male,White,Bachelor,Working fulltime,Refused,Not too happy,0
834,47,Male,White,Graduate,Working fulltime,Refused,Pretty happy,0
835,33,Female,White,Graduate,Working parttime,$25000 or more,Very happy,0
836,66,Female,White,Bachelor,Keeping house,Refused,Very happy,0
837,27,Male,White,High school,Working fulltime,$25000 or more,Pretty happy,0
838,54,Male,White,High school,"Unempl, laid off",$15000 - 19999,Pretty happy,0
839,53,Male,White,High school,"Unempl, laid off",$25000 or more,Pretty happy,0
840,54,Male,White,Junior college,Working fulltime,$25000 or more,Pretty happy,0
841,51,Female,White,High school,Keeping house,$10000 - 14999,Pretty happy,0
842,67,Male,White,High school,Retired,$10000 - 14999,Not too happy,0
843,67,Female,White,High school,Working parttime,$25000 or more,Pretty happy,0
844,65,Female,White,High school,Retired,$20000 - 24999,Not too happy,0
845,23,Female,Black,Junior college,Working fulltime,Refused,Pretty happy,0
846,27,Female,Black,High school,Working fulltime,$25000 or more,Pretty happy,0
847,28,Male,Black,High school,Working fulltime,$15000 - 19999,Pretty happy,0
848,34,Female,White,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
849,27,Female,White,Bachelor,Working fulltime,$20000 - 24999,Pretty happy,0
850,60,Male,Black,Lt high school,"Unempl, laid off",$4000 to 4999,Pretty happy,0
851,26,Male,White,Junior college,Working fulltime,$25000 or more,Not too happy,0
852,74,Female,White,High school,Keeping house,$10000 - 14999,Pretty happy,0
853,44,Female,White,High school,Working parttime,$4000 to 4999,Very happy,0
854,31,Male,White,High school,Working fulltime,$25000 or more,Pretty happy,0
855,63,Male,White,High school,Retired,$20000 - 24999,Very happy,0
856,72,Female,White,High school,Retired,$8000 to 9999,Pretty happy,0
857,25,Male,White,Bachelor,Working fulltime,Refused,Pretty happy,0
858,35,Male,Other,Bachelor,Working fulltime,$25000 or more,Very happy,0
859,56,Male,Black,High school,Working fulltime,$25000 or more,Very happy,0
860,20,Female,Other,High school,School,$20000 - 24999,Pretty happy,0
861,75,Male,Other,High school,Retired,$20000 - 24999,Pretty happy,0
862,43,Female,Other,Bachelor,Working fulltime,Refused,Very happy,0
863,28,Female,Other,Graduate,"Unempl, laid off",$25000 or more,Pretty happy,0
864,68,Male,White,Junior college,Retired,$10000 - 14999,Pretty happy,0
865,61,Female,White,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
866,46,Female,White,High school,Working fulltime,$25000 or more,Not too happy,0
867,53,Male,White,Graduate,Working fulltime,$25000 or more,Pretty happy,0
868,79,Female,White,High school,Retired,Don't know,Not too happy,0
869,35,Female,White,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
870,70,Female,White,Graduate,Retired,$25000 or more,Pretty happy,0
871,59,Female,White,High school,Retired,$15000 - 19999,Not too happy,0
872,54,Male,Black,No answer,Other,Refused,No answer,0
873,47,Male,White,Lt high school,Retired,$10000 - 14999,Pretty happy,0
874,22,Female,Black,High school,Working fulltime,$25000 or more,Not too happy,0
875,65,Female,White,Junior college,Other,$10000 - 14999,Pretty happy,0
876,81,Female,White,Junior college,Retired,$25000 or more,Not too happy,0
877,74,Male,White,Graduate,Retired,$25000 or more,Pretty happy,0
878,77,Female,White,Bachelor,Retired,$25000 or more,Very happy,0
879,22,Male,Other,High school,Working parttime,$25000 or more,Pretty happy,0
880,54,Male,White,Graduate,Working fulltime,Refused,Pretty happy,0
881,48,Female,White,Bachelor,Working parttime,$25000 or more,Very happy,0
882,43,Male,White,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
883,27,Female,White,Junior college,Working fulltime,$25000 or more,Pretty happy,0
884,30,Female,Other,Bachelor,Working fulltime,Refused,Very happy,0
885,52,Male,White,Graduate,Temp not working,Refused,Pretty happy,0
886,55,Female,White,Junior college,Working fulltime,Refused,Pretty happy,0
887,40,Male,White,Bachelor,Working fulltime,Refused,Pretty happy,0
888,51,Male,White,Junior college,Working parttime,$25000 or more,Not too happy,0
889,21,Female,Other,High school,Working fulltime,$25000 or more,Not too happy,0
890,29,Male,White,High school,Working fulltime,$20000 - 24999,Very happy,0
891,83,Female,White,High school,Retired,Don't know,Pretty happy,0
892,81,Female,White,High school,Retired,$15000 - 19999,Pretty happy,0
893,66,Female,Black,Graduate,Retired,Refused,Very happy,0
894,72,Male,White,Bachelor,Retired,$25000 or more,Pretty happy,0
895,78,Female,White,High school,Retired,$10000 - 14999,Not too happy,0
896,80,Male,Other,High school,Retired,$25000 or more,Very happy,0
897,60,Female,White,High school,Keeping house,$25000 or more,Pretty happy,0
898,24,Male,White,High school,Working parttime,$15000 - 19999,Pretty happy,0
899,81,Male,White,Graduate,Working fulltime,$25000 or more,Pretty happy,0
900,33,Female,White,Junior college,Working fulltime,$25000 or more,Not too happy,0
901,89 or older,Female,White,Lt high school,Retired,Don't know,Pretty happy,0
902,23,Male,Other,High school,Working parttime,$25000 or more,Pretty happy,0
903,22,Female,White,High school,Working fulltime,$20000 - 24999,Pretty happy,0
904,31,Male,White,High school,School,$25000 or more,Very happy,0
905,34,Female,Other,Lt high school,Other,$25000 or more,Very happy,0
906,87,Female,White,Lt high school,Retired,Refused,Pretty happy,0
907,47,Female,White,High school,Working fulltime,$25000 or more,Pretty happy,0
908,35,Male,White,High school,Working fulltime,$25000 or more,Pretty happy,0
909,76,Female,White,High school,Retired,$15000 - 19999,Pretty happy,0
910,44,Female,White,High school,Retired,$25000 or more,Pretty happy,0
911,27,Female,White,Bachelor,Temp not working,$25000 or more,Pretty happy,0
912,19,Female,White,High school,Working parttime,Don't know,Very happy,0
913,39,Female,Other,Bachelor,Working fulltime,Don't know,Pretty happy,0
914,58,Female,White,Bachelor,Keeping house,$25000 or more,Pretty happy,0
915,42,Female,White,High school,Working fulltime,$25000 or more,Pretty happy,0
916,71,Female,White,High school,Keeping house,$25000 or more,Very happy,0
917,43,Female,Other,High school,Working fulltime,$25000 or more,Pretty happy,0
918,30,Female,Black,High school,Keeping house,$25000 or more,Very happy,0
919,51,Female,White,Graduate,Working fulltime,$25000 or more,Very happy,0
920,39,Female,White,High school,Working fulltime,$25000 or more,Not too happy,0
921,27,Female,White,High school,Keeping house,$25000 or more,Pretty happy,0
922,66,Male,White,Bachelor,Retired,$25000 or more,Pretty happy,0
923,60,Male,Black,Graduate,Working fulltime,$25000 or more,Very happy,0
924,19,Female,White,High school,School,Refused,Not too happy,0
925,30,Male,White,High school,Working fulltime,$25000 or more,Pretty happy,0
926,37,Female,White,High school,Working fulltime,$25000 or more,Pretty happy,0
927,50,Male,White,High school,Working fulltime,$1000 to 2999,Very happy,0
928,35,Female,Other,High school,Working fulltime,$5000 to 5999,Very happy,0
929,44,Male,White,Bachelor,Working fulltime,Refused,Very happy,0
930,70,Female,White,High school,Retired,$20000 - 24999,Pretty happy,0
931,20,Female,Other,Lt high school,Working parttime,$25000 or more,Very happy,0
932,33,Female,White,Lt high school,Keeping house,$6000 to 6999,Very happy,0
933,51,Male,White,High school,Working fulltime,$25000 or more,Very happy,0
934,62,Male,Other,Lt high school,Other,$7000 to 7999,Very happy,0
935,46,Female,White,High school,Keeping house,$25000 or more,Pretty happy,0
936,47,Male,White,High school,Working fulltime,$25000 or more,Not too happy,0
937,56,Female,White,Bachelor,Working fulltime,$25000 or more,Very happy,0
938,27,Female,White,Graduate,Working fulltime,$25000 or more,Very happy,0
939,27,Female,White,Graduate,Working fulltime,$25000 or more,Pretty happy,0
940,40,Male,Black,Graduate,Working fulltime,$25000 or more,Pretty happy,0
941,32,Female,Other,Junior college,Working fulltime,Refused,Pretty happy,0
942,63,Female,White,Bachelor,Retired,$25000 or more,Very happy,0
943,38,Female,White,Bachelor,Working fulltime,$25000 or more,Very happy,0
944,35,Male,Other,Lt high school,Working parttime,$1000 to 2999,Pretty happy,0
945,79,Female,Other,Lt high school,Keeping house,$10000 - 14999,Very happy,0
946,47,Male,Other,High school,Other,$3000 to 3999,Very happy,0
947,43,Male,Other,Bachelor,Working fulltime,$25000 or more,Very happy,0
948,44,Female,Other,High school,Working fulltime,Refused,Pretty happy,0
949,34,Female,Other,Lt high school,Keeping house,$1000 to 2999,Very happy,0
950,43,Female,Other,High school,Working parttime,$25000 or more,Very happy,0
951,28,Female,Black,Lt high school,Keeping house,$1000 to 2999,Very happy,0
952,44,Female,White,High school,Working fulltime,Refused,Not too happy,0
953,54,Female,Black,High school,Working fulltime,$25000 or more,Very happy,0
954,79,Female,Black,High school,Retired,$20000 - 24999,Pretty happy,0
955,59,Male,Black,High school,Other,Don't know,Pretty happy,0
956,28,Female,Black,High school,Working parttime,$15000 - 19999,Not too happy,0
957,52,Male,Black,High school,"Unempl, laid off",Lt $1000,Pretty happy,0
958,63,Female,White,High school,Keeping house,$8000 to 9999,Pretty happy,0
959,30,Male,Black,High school,Other,$8000 to 9999,Pretty happy,0
960,24,Female,Black,High school,"Unempl, laid off",Don't know,Not too happy,0
961,29,Male,Black,High school,Working fulltime,$25000 or more,Pretty happy,0
962,46,Male,White,High school,Keeping house,$25000 or more,Very happy,0
963,73,Female,White,High school,Working parttime,$15000 - 19999,Pretty happy,0
964,57,Male,White,High school,Other,$25000 or more,Pretty happy,0
965,20,Female,White,High school,Working parttime,$10000 - 14999,Pretty happy,0
966,51,Male,White,Bachelor,Working fulltime,Refused,Pretty happy,0
967,43,Male,Other,High school,Working fulltime,$25000 or more,Very happy,0
968,65,Male,White,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
969,28,Male,White,Junior college,Keeping house,$15000 - 19999,Pretty happy,0
970,25,Male,White,Bachelor,Keeping house,Don't know,Not too happy,0
971,40,Male,White,Lt high school,"Unempl, laid off",Lt $1000,Not too happy,0
972,56,Male,Black,High school,Keeping house,Refused,Pretty happy,0
973,34,Male,Other,Graduate,Working fulltime,Refused,Not too happy,0
974,27,Male,White,High school,Working parttime,Don't know,Not too happy,0
975,59,Female,White,High school,Working fulltime,$25000 or more,Pretty happy,0
976,25,Female,White,High school,Working parttime,$20000 - 24999,Pretty happy,0
977,56,Male,White,Bachelor,Working parttime,$10000 - 14999,Very happy,0
978,61,Female,White,High school,Keeping house,Refused,Very happy,0
979,56,Female,White,High school,Working fulltime,$25000 or more,Very happy,0
980,46,Female,White,Junior college,Working parttime,$15000 - 19999,Very happy,0
981,35,Female,Other,Bachelor,Working fulltime,Refused,Very happy,0
982,31,Female,White,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
983,57,Male,White,High school,"Unempl, laid off",$20000 - 24999,Pretty happy,0
984,50,Female,White,High school,Working fulltime,$25000 or more,Pretty happy,0
985,25,Male,White,High school,"Unempl, laid off",$25000 or more,Pretty happy,0
986,59,Female,White,High school,Working fulltime,$10000 - 14999,Not too happy,0
987,73,Male,White,High school,Retired,$25000 or more,Very happy,0
988,60,Male,Other,High school,"Unempl, laid off",$25000 or more,Very happy,0
989,66,Male,White,High school,Retired,Refused,Pretty happy,0
990,84,Male,Other,Lt high school,Retired,Don't know,Very happy,0
991,57,Female,Other,Lt high school,Working fulltime,$15000 - 19999,Pretty happy,0
992,68,Male,White,High school,Retired,$25000 or more,Pretty happy,0
993,35,Female,White,High school,Working fulltime,$25000 or more,Pretty happy,0
994,28,Female,Other,Bachelor,Keeping house,$25000 or more,Pretty happy,0
995,35,Female,White,High school,"Unempl, laid off",Don't know,Pretty happy,0
996,42,Female,White,Graduate,Working fulltime,$25000 or more,Very happy,0
997,38,Female,White,High school,"Unempl, laid off",$15000 - 19999,Pretty happy,0
998,69,Male,White,Lt high school,Working fulltime,$25000 or more,Very happy,0
999,68,Male,White,High school,Retired,$25000 or more,Pretty happy,0
1000,44,Male,White,High school,Working fulltime,$25000 or more,Very happy,0
1001,67,Male,White,Bachelor,Retired,$25000 or more,Pretty happy,0
1002,28,Female,White,High school,Working fulltime,$8000 to 9999,Pretty happy,0
1003,45,Female,White,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
1004,62,Male,White,Bachelor,Working fulltime,$10000 - 14999,Not too happy,0
1005,68,Female,Black,Graduate,Retired,$25000 or more,Pretty happy,0
1006,34,Female,White,Bachelor,Working parttime,$25000 or more,Very happy,0
1007,32,Female,White,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
1008,24,Female,White,Lt high school,Working fulltime,$25000 or more,Very happy,0
1009,31,Female,White,Graduate,Temp not working,$25000 or more,Pretty happy,0
1010,32,Female,Black,Bachelor,"Unempl, laid off",$25000 or more,Very happy,0
1011,22,Male,White,High school,Working parttime,$15000 - 19999,Pretty happy,0
1012,25,Male,Black,High school,Working fulltime,$25000 or more,Pretty happy,0
1013,34,Female,Black,Bachelor,Temp not working,$25000 or more,Pretty happy,0
1014,35,Female,Other,High school,"Unempl, laid off",$10000 - 14999,Not too happy,0
1015,60,Female,Black,High school,Working fulltime,$25000 or more,Very happy,0
1016,64,Female,White,High school,Working fulltime,$25000 or more,Pretty happy,0
1017,26,Male,Black,High school,Working fulltime,$25000 or more,Very happy,0
1018,30,Male,White,High school,Working fulltime,$20000 - 24999,Not too happy,0
1019,63,Male,White,Graduate,Working parttime,$25000 or more,Pretty happy,0
1020,46,Male,White,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
1021,24,Male,Other,High school,Working parttime,$8000 to 9999,Not too happy,0
1022,32,Male,White,Junior college,Working fulltime,$20000 - 24999,Pretty happy,0
1023,61,Male,White,Bachelor,Working parttime,$15000 - 19999,Pretty happy,0
1024,57,Female,White,Graduate,Working fulltime,Refused,Very happy,0
1025,40,Male,White,Bachelor,"Unempl, laid off",$25000 or more,Not too happy,0
1026,42,Female,White,High school,Working fulltime,Don't know,Pretty happy,0
1027,64,Female,White,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
